signal,mean,median,std,count
effective_rank,2314.0,2213.0,725.9072484369703,7
kl_from_reference,3056.8571428571427,2866.0,730.9230302777961,7
policy_entropy,3042.5714285714284,2866.0,708.0411610311124,7
reward_variance,3094.0,2861.0,680.415069400044,7
