signal,window_fraction,n_runs,spearman_r,spearman_ci_low,spearman_ci_high,p_value,p_value_bonferroni
policy_entropy,0.2,96,-0.8400055616080642,-0.8865192890429201,-0.766610948725301,0.0,0.0
effective_rank,0.2,96,0.6242492683475543,0.4646450939715708,0.7398459519367773,0.0,0.0
kl_from_reference,0.2,96,-0.1640401656282005,-0.4009075296781316,0.064834568851497,0.119,1.0
reward_variance,0.2,96,0.4461084037885249,0.2323977536876065,0.6148357765017382,0.0,0.0
